,,,,,,,Daily Price Arrival Report-07-11-2025 to 08-02-2026 for Gujarat,,,,,,
State,District,Market,Commodity Group,Commodity,Variety,Grade,Min Price,Max Price,Modal Price,Price Unit,Arrival Quantity,Arrival Unit,Arrival Date
Gujarat,Amreli,Rajula APMC,Pulses,Kabuli Chana(Chickpeas-White),Kabuli Chana(Chickpeas-white),Local,"3,075.00","5,255.00","4,165.00",Rs./Quintal,0.30,Metric Tonnes,17-12-2025
Gujarat,Amreli,Rajula APMC,Pulses,Kabuli Chana(Chickpeas-White),Kabuli Chana(Chickpeas-white),Local,"3,125.00","4,905.00","4,015.00",Rs./Quintal,0.20,Metric Tonnes,17-01-2026
Gujarat,Amreli,Rajula APMC,Pulses,Kabuli Chana(Chickpeas-White),Kabuli Chana(Chickpeas-white),Local,"2,500.00","6,375.00","4,438.00",Rs./Quintal,0.50,Metric Tonnes,16-12-2025
Gujarat,Amreli,Rajula APMC,Pulses,Kabuli Chana(Chickpeas-White),Kabuli Chana(Chickpeas-white),Local,"5,055.00","5,755.00","5,405.00",Rs./Quintal,0.10,Metric Tonnes,16-01-2026
Gujarat,Amreli,Rajula APMC,Pulses,Kabuli Chana(Chickpeas-White),Kabuli Chana(Chickpeas-white),Local,"3,000.00","5,000.00","4,000.00",Rs./Quintal,0.30,Metric Tonnes,15-12-2025
Gujarat,Amreli,Rajula APMC,Pulses,Kabuli Chana(Chickpeas-White),Kabuli Chana(Chickpeas-white),Local,"4,500.00","4,500.00","4,500.00",Rs./Quintal,0.10,Metric Tonnes,15-01-2026
Gujarat,Amreli,Rajula APMC,Pulses,Kabuli Chana(Chickpeas-White),Kabuli Chana(Chickpeas-white),Local,"4,250.00","5,350.00","4,800.00",Rs./Quintal,0.80,Metric Tonnes,13-12-2025
Gujarat,Amreli,Rajula APMC,Pulses,Kabuli Chana(Chickpeas-White),Kabuli Chana(Chickpeas-white),Local,"4,005.00","5,500.00","4,753.00",Rs./Quintal,1.00,Metric Tonnes,13-01-2026
Gujarat,Amreli,Rajula APMC,Pulses,Kabuli Chana(Chickpeas-White),Kabuli Chana(Chickpeas-white),Local,"4,510.00","4,510.00","4,510.00",Rs./Quintal,0.10,Metric Tonnes,12-12-2025
Gujarat,Amreli,Rajula APMC,Pulses,Kabuli Chana(Chickpeas-White),Kabuli Chana(Chickpeas-white),Local,"2,500.00","6,380.00","4,440.00",Rs./Quintal,0.20,Metric Tonnes,12-01-2026
Gujarat,Amreli,Rajula APMC,Pulses,Kabuli Chana(Chickpeas-White),Kabuli Chana(Chickpeas-white),Local,"3,760.00","4,660.00","4,210.00",Rs./Quintal,0.40,Metric Tonnes,11-12-2025
Gujarat,Amreli,Rajula APMC,Pulses,Kabuli Chana(Chickpeas-White),Kabuli Chana(Chickpeas-white),Local,"5,055.00","5,055.00","5,055.00",Rs./Quintal,0.10,Metric Tonnes,10-12-2025
