,,,,,,,Daily Price Arrival Report-07-11-2025 to 08-02-2026 for Gujarat,,,,,,
State,District,Market,Commodity Group,Commodity,Variety,Grade,Min Price,Max Price,Modal Price,Price Unit,Arrival Quantity,Arrival Unit,Arrival Date
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Beetroot,Other,FAQ,800.00,"1,250.00","1,050.00",Rs./Quintal,29.00,Metric Tonnes,15-01-2026
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Beetroot,Other,FAQ,800.00,"1,800.00","1,400.00",Rs./Quintal,35.90,Metric Tonnes,13-11-2025
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Beetroot,Other,FAQ,700.00,"1,200.00",900.00,Rs./Quintal,21.00,Metric Tonnes,13-01-2026
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Beetroot,Other,FAQ,"1,000.00","1,800.00","1,450.00",Rs./Quintal,24.00,Metric Tonnes,12-12-2025
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Beetroot,Other,FAQ,"1,000.00","2,500.00","1,400.00",Rs./Quintal,33.90,Metric Tonnes,12-11-2025
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Beetroot,Other,FAQ,"1,000.00","2,250.00","1,550.00",Rs./Quintal,37.70,Metric Tonnes,11-12-2025
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Beetroot,Other,FAQ,800.00,"2,000.00","1,450.00",Rs./Quintal,38.00,Metric Tonnes,11-11-2025
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Beetroot,Other,FAQ,"1,000.00","2,000.00","1,700.00",Rs./Quintal,19.80,Metric Tonnes,10-12-2025
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Beetroot,Other,FAQ,"1,000.00","3,000.00","2,000.00",Rs./Quintal,89.00,Metric Tonnes,10-11-2025
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Beetroot,Other,FAQ,"1,000.00","2,000.00","1,750.00",Rs./Quintal,24.80,Metric Tonnes,09-12-2025
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Beetroot,Other,FAQ,600.00,"1,200.00","1,050.00",Rs./Quintal,32.20,Metric Tonnes,09-01-2026
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Beetroot,Other,FAQ,"1,000.00","2,250.00","1,900.00",Rs./Quintal,38.90,Metric Tonnes,08-12-2025
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Beetroot,Other,FAQ,"1,000.00","3,000.00","2,500.00",Rs./Quintal,37.80,Metric Tonnes,08-11-2025
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Beetroot,Other,FAQ,700.00,"1,500.00",950.00,Rs./Quintal,30.70,Metric Tonnes,08-01-2026
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Beetroot,Other,FAQ,"1,000.00","3,000.00","2,650.00",Rs./Quintal,23.60,Metric Tonnes,07-11-2025
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Beetroot,Other,FAQ,600.00,"1,500.00",950.00,Rs./Quintal,42.10,Metric Tonnes,07-01-2026
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Beetroot,Other,FAQ,"1,000.00","2,500.00","1,950.00",Rs./Quintal,15.90,Metric Tonnes,06-12-2025
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Beetroot,Other,FAQ,600.00,"1,250.00",900.00,Rs./Quintal,12.30,Metric Tonnes,06-02-2026
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Beetroot,Other,FAQ,800.00,"1,500.00","1,100.00",Rs./Quintal,30.00,Metric Tonnes,06-01-2026
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Beetroot,Other,FAQ,"1,000.00","2,000.00","1,800.00",Rs./Quintal,29.20,Metric Tonnes,05-12-2025
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Beetroot,Other,FAQ,600.00,"1,200.00",900.00,Rs./Quintal,36.00,Metric Tonnes,05-02-2026
Gujarat,Ahmedabad,Ahmedabad APMC,Vegetables,Beetroot,Other,FAQ,"1,000.00","1,700.00","1,250.00",Rs./Quintal,36.70,Metric Tonnes,05-01-2026
