,,,,,,,Daily Price Arrival Report-08-11-2025 to 08-02-2026 for Gujarat,,,,,,
State,District,Market,Commodity Group,Commodity,Variety,Grade,Min Price,Max Price,Modal Price,Price Unit,Arrival Quantity,Arrival Unit,Arrival Date
Gujarat,Banaskanth,Amirgadh APMC,Cereals,Maize,Deshi Red,FAQ,"2,000.00","2,000.00","2,000.00",Rs./Quintal,0.80,Metric Tonnes,22-12-2025
Gujarat,Banaskanth,Amirgadh APMC,Cereals,Maize,Deshi Red,FAQ,"2,240.00","2,405.00","2,405.00",Rs./Quintal,0.30,Metric Tonnes,21-11-2025
Gujarat,Banaskanth,Amirgadh APMC,Cereals,Maize,Deshi Red,FAQ,"2,095.00","2,095.00","2,095.00",Rs./Quintal,0.10,Metric Tonnes,20-01-2026
Gujarat,Banaskanth,Amirgadh APMC,Cereals,Maize,Deshi Red,FAQ,"2,000.00","2,000.00","2,000.00",Rs./Quintal,0.40,Metric Tonnes,19-01-2026
Gujarat,Banaskanth,Amirgadh APMC,Cereals,Maize,Hybrid/Local,FAQ,"1,900.00","2,125.00","2,125.00",Rs./Quintal,2.00,Metric Tonnes,17-12-2025
Gujarat,Banaskanth,Amirgadh APMC,Cereals,Maize,Deshi Red,FAQ,"2,390.00","2,390.00","2,390.00",Rs./Quintal,0.40,Metric Tonnes,13-11-2025
Gujarat,Banaskanth,Amirgadh APMC,Cereals,Maize,Deshi Red,FAQ,"2,075.00","2,075.00","2,075.00",Rs./Quintal,1.50,Metric Tonnes,08-12-2025
Gujarat,Banaskanth,Amirgadh APMC,Cereals,Maize,Deshi Red,FAQ,"2,175.00","2,175.00","2,175.00",Rs./Quintal,0.20,Metric Tonnes,06-01-2026
Gujarat,Banaskanth,Amirgadh APMC,Cereals,Maize,Hybrid/Local,FAQ,"1,965.00","2,105.00","2,105.00",Rs./Quintal,1.70,Metric Tonnes,04-12-2025
Gujarat,Banaskanth,Amirgadh APMC,Cereals,Maize,Deshi Red,FAQ,"1,985.00","2,000.00","2,000.00",Rs./Quintal,1.50,Metric Tonnes,03-12-2025
Gujarat,Banaskanth,Amirgadh APMC,Cereals,Maize,Deshi Red,FAQ,"2,025.00","2,025.00","2,025.00",Rs./Quintal,0.80,Metric Tonnes,02-12-2025
Gujarat,Banaskanth,Dhanera APMC,Cereals,Maize,Deshi Red,Non-FAQ,"1,855.00","1,855.00","1,855.00",Rs./Quintal,0.90,Metric Tonnes,21-11-2025
Gujarat,Banaskanth,Dhanera APMC,Cereals,Maize,Deshi Red,Local,"1,905.00","1,905.00","1,905.00",Rs./Quintal,0.70,Metric Tonnes,19-01-2026
Gujarat,Banaskanth,Dhanera APMC,Cereals,Maize,Deshi Red,Non-FAQ,"2,045.00","2,045.00","2,045.00",Rs./Quintal,0.60,Metric Tonnes,08-11-2025
Gujarat,Banaskanth,Palanpur APMC,Cereals,Maize,Deshi Red,Local,"2,037.50","2,037.50","2,037.50",Rs./Quintal,0.16,Metric Tonnes,31-12-2025
Gujarat,Banaskanth,Palanpur APMC,Cereals,Maize,Deshi Red,Local,"2,005.00","2,005.00","2,005.00",Rs./Quintal,0.09,Metric Tonnes,29-12-2025
Gujarat,Banaskanth,Palanpur APMC,Cereals,Maize,Other,Local,"1,980.00","1,980.00","1,980.00",Rs./Quintal,0.10,Metric Tonnes,27-11-2025
Gujarat,Banaskanth,Palanpur APMC,Cereals,Maize,Other,Local,"2,065.00","2,065.00","2,065.00",Rs./Quintal,0.35,Metric Tonnes,26-11-2025
Gujarat,Banaskanth,Palanpur APMC,Cereals,Maize,Deshi Red,Local,"2,070.00","2,070.00","2,070.00",Rs./Quintal,0.11,Metric Tonnes,25-12-2025
Gujarat,Banaskanth,Palanpur APMC,Cereals,Maize,Deshi Red,Local,"2,090.00","2,090.00","2,090.00",Rs./Quintal,0.10,Metric Tonnes,23-12-2025
Gujarat,Banaskanth,Palanpur APMC,Cereals,Maize,Deshi Red,Local,"2,000.00","2,000.00","2,000.00",Rs./Quintal,0.07,Metric Tonnes,21-01-2026
Gujarat,Banaskanth,Palanpur APMC,Cereals,Maize,Deshi Red,Local,"2,002.50","2,002.50","2,002.50",Rs./Quintal,1.15,Metric Tonnes,20-11-2025
Gujarat,Banaskanth,Palanpur APMC,Cereals,Maize,Deshi Red,Local,"1,950.00","1,950.00","1,950.00",Rs./Quintal,0.11,Metric Tonnes,20-01-2026
Gujarat,Banaskanth,Palanpur APMC,Cereals,Maize,Deshi Red,Local,"2,550.00","2,550.00","2,550.00",Rs./Quintal,0.50,Metric Tonnes,19-11-2025
Gujarat,Banaskanth,Palanpur APMC,Cereals,Maize,Deshi Red,Local,"2,060.00","2,060.00","2,060.00",Rs./Quintal,0.49,Metric Tonnes,18-11-2025
Gujarat,Banaskanth,Palanpur APMC,Cereals,Maize,Deshi Red,Local,"2,100.00","2,100.00","2,100.00",Rs./Quintal,0.14,Metric Tonnes,17-11-2025
Gujarat,Banaskanth,Palanpur APMC,Cereals,Maize,Deshi Red,Local,"2,058.00","2,058.00","2,058.00",Rs./Quintal,0.52,Metric Tonnes,16-12-2025
Gujarat,Banaskanth,Palanpur APMC,Cereals,Maize,Deshi Red,Local,"1,928.00","1,928.00","1,928.00",Rs./Quintal,0.55,Metric Tonnes,15-12-2025
Gujarat,Banaskanth,Palanpur APMC,Cereals,Maize,Deshi Red,Local,"2,080.00","2,080.00","2,080.00",Rs./Quintal,0.34,Metric Tonnes,15-11-2025
Gujarat,Banaskanth,Palanpur APMC,Cereals,Maize,Deshi Red,Local,"2,055.00","2,055.00","2,055.00",Rs./Quintal,0.10,Metric Tonnes,15-01-2026
Gujarat,Banaskanth,Palanpur APMC,Cereals,Maize,Deshi Red,Local,"1,957.50","1,957.50","1,957.50",Rs./Quintal,0.32,Metric Tonnes,13-11-2025
Gujarat,Banaskanth,Palanpur APMC,Cereals,Maize,Deshi Red,Local,"2,067.50","2,067.50","2,067.50",Rs./Quintal,0.33,Metric Tonnes,12-11-2025
Gujarat,Banaskanth,Palanpur APMC,Cereals,Maize,Deshi Red,Local,"2,030.00","2,030.00","2,030.00",Rs./Quintal,1.05,Metric Tonnes,11-11-2025
Gujarat,Banaskanth,Palanpur APMC,Cereals,Maize,Deshi Red,Local,"2,187.50","2,187.50","2,187.50",Rs./Quintal,0.28,Metric Tonnes,10-11-2025
Gujarat,Banaskanth,Palanpur APMC,Cereals,Maize,Deshi Red,Local,"2,062.50","2,062.50","2,062.50",Rs./Quintal,0.11,Metric Tonnes,08-11-2025
Gujarat,Banaskanth,Palanpur APMC,Cereals,Maize,Other,Local,"2,055.00","2,055.00","2,055.00",Rs./Quintal,0.10,Metric Tonnes,06-01-2026
Gujarat,Banaskanth,Palanpur APMC,Cereals,Maize,Other,Local,"2,000.00","2,000.00","2,000.00",Rs./Quintal,0.05,Metric Tonnes,03-12-2025
Gujarat,Banaskanth,Palanpur APMC,Cereals,Maize,Other,Local,"2,000.00","2,000.00","2,000.00",Rs./Quintal,0.14,Metric Tonnes,01-01-2026
Gujarat,Banaskanth,Vadgam APMC,Cereals,Maize,Deshi Red,FAQ,"1,805.00","1,805.00","1,805.00",Rs./Quintal,1.00,Metric Tonnes,27-11-2025
Gujarat,Banaskanth,Vadgam APMC,Cereals,Maize,Deshi Red,FAQ,"2,095.00","2,105.00","2,105.00",Rs./Quintal,2.80,Metric Tonnes,26-11-2025
Gujarat,Banaskanth,Vadgam APMC,Cereals,Maize,Deshi Red,FAQ,"2,100.00","2,100.00","2,100.00",Rs./Quintal,0.90,Metric Tonnes,24-11-2025
Gujarat,Banaskanth,Vadgam APMC,Cereals,Maize,Deshi Red,FAQ,"2,155.00","2,155.00","2,155.00",Rs./Quintal,1.80,Metric Tonnes,21-11-2025
Gujarat,Banaskanth,Vadgam APMC,Cereals,Maize,Deshi Red,FAQ,"2,105.00","2,105.00","2,105.00",Rs./Quintal,2.60,Metric Tonnes,19-11-2025
Gujarat,Banaskanth,Vadgam APMC,Cereals,Maize,Deshi Red,FAQ,"1,775.00","1,775.00","1,775.00",Rs./Quintal,2.50,Metric Tonnes,17-11-2025
Gujarat,Banaskanth,Vadgam APMC,Cereals,Maize,Deshi Red,FAQ,"1,855.00","1,855.00","1,855.00",Rs./Quintal,0.60,Metric Tonnes,16-12-2025
Gujarat,Banaskanth,Vadgam APMC,Cereals,Maize,Deshi Red,FAQ,"2,105.00","2,105.00","2,105.00",Rs./Quintal,0.60,Metric Tonnes,13-11-2025
Gujarat,Banaskanth,Vadgam APMC,Cereals,Maize,Deshi Red,FAQ,"2,005.00","2,005.00","2,005.00",Rs./Quintal,0.70,Metric Tonnes,10-11-2025
Gujarat,Banaskanth,Vadgam APMC,Cereals,Maize,Deshi Red,FAQ,"2,005.00","2,010.00","2,010.00",Rs./Quintal,1.00,Metric Tonnes,09-12-2025
Gujarat,Banaskanth,Vadgam APMC,Cereals,Maize,Deshi Red,FAQ,"1,925.00","1,925.00","1,925.00",Rs./Quintal,0.60,Metric Tonnes,03-12-2025
Gujarat,Bhavnagar,Mahuva(Station Road) APMC,Cereals,Maize,Local,FAQ,"1,850.00","1,850.00","1,850.00",Rs./Quintal,0.05,Metric Tonnes,29-12-2025
Gujarat,Bhavnagar,Mahuva(Station Road) APMC,Cereals,Maize,Hybrid/Local,FAQ,"1,700.00","1,700.00","1,700.00",Rs./Quintal,0.05,Metric Tonnes,28-11-2025
Gujarat,Bhavnagar,Mahuva(Station Road) APMC,Cereals,Maize,Hybrid/Local,FAQ,"2,385.00","2,385.00","2,385.00",Rs./Quintal,0.05,Metric Tonnes,28-01-2026
Gujarat,Bhavnagar,Mahuva(Station Road) APMC,Cereals,Maize,Hybrid/Local,FAQ,"1,905.00","1,905.00","1,905.00",Rs./Quintal,0.05,Metric Tonnes,26-12-2025
Gujarat,Bhavnagar,Mahuva(Station Road) APMC,Cereals,Maize,Hybrid/Local,FAQ,"1,700.00","1,700.00","1,700.00",Rs./Quintal,0.10,Metric Tonnes,24-12-2025
Gujarat,Bhavnagar,Mahuva(Station Road) APMC,Cereals,Maize,Local,FAQ,"1,880.00","2,650.00","2,265.00",Rs./Quintal,0.30,Metric Tonnes,24-11-2025
Gujarat,Bhavnagar,Mahuva(Station Road) APMC,Cereals,Maize,Local,FAQ,"1,255.00","1,915.00","1,585.00",Rs./Quintal,0.20,Metric Tonnes,22-12-2025
Gujarat,Bhavnagar,Mahuva(Station Road) APMC,Cereals,Maize,Local,FAQ,"1,705.00","1,705.00","1,705.00",Rs./Quintal,0.05,Metric Tonnes,20-12-2025
Gujarat,Bhavnagar,Mahuva(Station Road) APMC,Cereals,Maize,Local,FAQ,"1,895.00","1,895.00","1,895.00",Rs./Quintal,0.40,Metric Tonnes,19-01-2026
Gujarat,Bhavnagar,Mahuva(Station Road) APMC,Cereals,Maize,Local,FAQ,"1,995.00","2,805.00","2,400.00",Rs./Quintal,0.20,Metric Tonnes,18-11-2025
Gujarat,Bhavnagar,Mahuva(Station Road) APMC,Cereals,Maize,Local,FAQ,"1,755.00","1,755.00","1,755.00",Rs./Quintal,0.05,Metric Tonnes,08-12-2025
Gujarat,Bhavnagar,Mahuva(Station Road) APMC,Cereals,Maize,Local,FAQ,"1,875.00","1,875.00","1,875.00",Rs./Quintal,0.05,Metric Tonnes,04-12-2025
Gujarat,Bhavnagar,Mahuva(Station Road) APMC,Cereals,Maize,Other,FAQ,"1,785.00","2,155.00","1,970.00",Rs./Quintal,0.10,Metric Tonnes,02-12-2025
Gujarat,Bhavnagar,Mahuva(Station Road) APMC,Cereals,Maize,Local,FAQ,"1,965.00","1,980.00","1,973.00",Rs./Quintal,0.10,Metric Tonnes,01-12-2025
Gujarat,Bhavnagar,Mahuva(Station Road) APMC,Cereals,Maize,Local,FAQ,"1,860.00","1,860.00","1,860.00",Rs./Quintal,0.05,Metric Tonnes,01-01-2026
Gujarat,Bhavnagar,Palitana APMC,Cereals,Maize,Other,Local,"1,660.00","2,375.00","2,075.00",Rs./Quintal,0.08,Metric Tonnes,30-01-2026
Gujarat,Dahod,Dahod APMC,Cereals,Maize,White (SAFED),Local,"1,625.00","2,401.00","2,250.00",Rs./Quintal,114.90,Metric Tonnes,31-12-2025
Gujarat,Dahod,Dahod APMC,Cereals,Maize,White (SAFED),Local,"1,525.00","2,050.00","1,800.00",Rs./Quintal,276.60,Metric Tonnes,31-01-2026
Gujarat,Dahod,Dahod APMC,Cereals,Maize,White (SAFED),Local,"1,625.00","2,350.00","2,200.00",Rs./Quintal,255.70,Metric Tonnes,30-12-2025
Gujarat,Dahod,Dahod APMC,Cereals,Maize,White (SAFED),Local,"1,525.00","2,150.00","1,900.00",Rs./Quintal,185.80,Metric Tonnes,30-01-2026
Gujarat,Dahod,Dahod APMC,Cereals,Maize,White (SAFED),Local,"1,625.00","2,350.00","2,200.00",Rs./Quintal,210.50,Metric Tonnes,29-12-2025
Gujarat,Dahod,Dahod APMC,Cereals,Maize,White (SAFED),Local,"1,550.00","2,450.00","2,150.00",Rs./Quintal,256.00,Metric Tonnes,29-11-2025
Gujarat,Dahod,Dahod APMC,Cereals,Maize,White (SAFED),Local,"1,550.00","2,200.00","2,000.00",Rs./Quintal,111.00,Metric Tonnes,29-01-2026
Gujarat,Dahod,Dahod APMC,Cereals,Maize,White (SAFED),Local,"1,550.00","2,425.00","2,200.00",Rs./Quintal,259.40,Metric Tonnes,28-11-2025
Gujarat,Dahod,Dahod APMC,Cereals,Maize,White (SAFED),Local,"1,550.00","2,200.00","1,850.00",Rs./Quintal,212.00,Metric Tonnes,28-01-2026
Gujarat,Dahod,Dahod APMC,Cereals,Maize,White (SAFED),Local,"1,625.00","2,402.00","2,200.00",Rs./Quintal,207.50,Metric Tonnes,27-12-2025
Gujarat,Dahod,Dahod APMC,Cereals,Maize,White (SAFED),Local,"1,575.00","2,438.00","2,050.00",Rs./Quintal,163.80,Metric Tonnes,27-11-2025
Gujarat,Dahod,Dahod APMC,Cereals,Maize,White (SAFED),Local,"1,550.00","2,225.00","1,875.00",Rs./Quintal,329.30,Metric Tonnes,27-01-2026
Gujarat,Dahod,Dahod APMC,Cereals,Maize,White (SAFED),Local,"1,650.00","2,440.00","2,000.00",Rs./Quintal,329.40,Metric Tonnes,26-12-2025
Gujarat,Dahod,Dahod APMC,Cereals,Maize,White (SAFED),Local,"1,600.00","2,375.00","2,100.00",Rs./Quintal,209.80,Metric Tonnes,26-11-2025
Gujarat,Dahod,Dahod APMC,Cereals,Maize,White (SAFED),Local,"1,600.00","2,400.00","2,100.00",Rs./Quintal,223.60,Metric Tonnes,25-11-2025
Gujarat,Dahod,Dahod APMC,Cereals,Maize,White (SAFED),Local,"1,675.00","2,400.00","2,075.00",Rs./Quintal,159.00,Metric Tonnes,24-12-2025
Gujarat,Dahod,Dahod APMC,Cereals,Maize,White (SAFED),Local,"1,600.00","2,380.00","2,250.00",Rs./Quintal,379.30,Metric Tonnes,24-11-2025
Gujarat,Dahod,Dahod APMC,Cereals,Maize,White (SAFED),Local,"1,575.00","2,300.00","2,000.00",Rs./Quintal,156.80,Metric Tonnes,24-01-2026
Gujarat,Dahod,Dahod APMC,Cereals,Maize,White (SAFED),Local,"1,700.00","2,350.00","2,100.00",Rs./Quintal,390.00,Metric Tonnes,23-12-2025
Gujarat,Dahod,Dahod APMC,Cereals,Maize,White (SAFED),Local,"1,575.00","2,250.00","1,900.00",Rs./Quintal,196.40,Metric Tonnes,23-01-2026
Gujarat,Dahod,Dahod APMC,Cereals,Maize,White (SAFED),Local,"1,700.00","2,361.00","2,100.00",Rs./Quintal,229.40,Metric Tonnes,22-12-2025
Gujarat,Dahod,Dahod APMC,Cereals,Maize,White (SAFED),Local,"1,600.00","2,550.00","2,050.00",Rs./Quintal,137.50,Metric Tonnes,22-11-2025
Gujarat,Dahod,Dahod APMC,Cereals,Maize,White (SAFED),Local,"1,575.00","2,215.00","1,925.00",Rs./Quintal,144.60,Metric Tonnes,22-01-2026
Gujarat,Dahod,Dahod APMC,Cereals,Maize,White (SAFED),Local,"1,600.00","2,500.00","1,950.00",Rs./Quintal,263.90,Metric Tonnes,21-11-2025
Gujarat,Dahod,Dahod APMC,Cereals,Maize,White (SAFED),Local,"1,575.00","2,210.00","1,915.00",Rs./Quintal,70.00,Metric Tonnes,21-01-2026
Gujarat,Dahod,Dahod APMC,Cereals,Maize,White (SAFED),Local,"1,675.00","2,400.00","2,100.00",Rs./Quintal,143.30,Metric Tonnes,20-12-2025
Gujarat,Dahod,Dahod APMC,Cereals,Maize,White (SAFED),Local,"1,605.00","2,701.00","1,900.00",Rs./Quintal,351.90,Metric Tonnes,20-11-2025
Gujarat,Dahod,Dahod APMC,Cereals,Maize,White (SAFED),Local,"1,575.00","2,230.00","1,900.00",Rs./Quintal,195.80,Metric Tonnes,20-01-2026
Gujarat,Dahod,Dahod APMC,Cereals,Maize,White (SAFED),Local,"1,675.00","2,403.00","2,100.00",Rs./Quintal,220.50,Metric Tonnes,19-12-2025
Gujarat,Dahod,Dahod APMC,Cereals,Maize,White (SAFED),Local,"1,625.00","2,501.00","1,950.00",Rs./Quintal,357.10,Metric Tonnes,19-11-2025
Gujarat,Dahod,Dahod APMC,Cereals,Maize,White (SAFED),Local,"1,575.00","2,245.00","1,925.00",Rs./Quintal,256.80,Metric Tonnes,19-01-2026
Gujarat,Dahod,Dahod APMC,Cereals,Maize,White (SAFED),Local,"1,675.00","2,350.00","2,075.00",Rs./Quintal,166.40,Metric Tonnes,18-12-2025
Gujarat,Dahod,Dahod APMC,Cereals,Maize,White (SAFED),Local,"1,650.00","2,500.00","1,900.00",Rs./Quintal,333.00,Metric Tonnes,18-11-2025
Gujarat,Dahod,Dahod APMC,Cereals,Maize,White (SAFED),Local,"1,675.00","2,350.00","2,000.00",Rs./Quintal,174.90,Metric Tonnes,17-12-2025
Gujarat,Dahod,Dahod APMC,Cereals,Maize,White (SAFED),Local,"1,675.00","2,500.00","1,900.00",Rs./Quintal,568.30,Metric Tonnes,17-11-2025
Gujarat,Dahod,Dahod APMC,Cereals,Maize,White (SAFED),Local,"1,600.00","2,153.00","1,900.00",Rs./Quintal,133.50,Metric Tonnes,17-01-2026
